ShipDetections,Latitude,Longitude,Detected_length
target_000,23.7747583916658,68.3418040849682,190
target_001,23.6803606831038,68.5257964893875,70
target_002,23.6536864155091,68.5210352336949,50
target_003,23.7137725847223,68.1588353906691,70
target_004,23.5786727060253,68.4662695302908,20
target_005,23.5603042620548,68.4765104765796,40
target_006,23.5555020621238,68.4810323778604,70
target_007,23.5821991955681,68.4495422627444,140
target_008,23.5699702523144,68.4525408715026,100
target_009,23.5986403087507,68.280363382599,230
target_010,23.5828764915621,68.3030908314112,130
target_011,23.5974535673123,68.2508511231999,70
target_012,23.5341000514905,68.4890724181398,200
target_013,23.5117313763534,68.4959210433388,100
target_014,23.5767671548365,68.2936201202836,80
target_015,23.494498297237,68.4987620838965,40
target_016,23.4700092975633,68.5082679102408,60
target_017,23.4956744911221,68.4721216368705,80
target_018,23.4949963248161,68.4619341695888,110
target_019,23.4913426063269,68.4542409996417,30
target_020,23.4203503016054,68.5431453087777,170
target_021,23.4523259888305,68.5173829207948,30
target_022,23.4387641737115,68.5232869652598,190
target_023,23.4317153274349,68.4952679561957,70
target_024,23.4619556460271,68.443972566852,10
target_025,23.4371307871409,68.4401338605052,40
target_026,23.4321580169208,68.4560080125268,120
target_027,23.4526115995872,68.4349521522796,60
target_028,23.4424622367389,68.4106514908672,250
target_029,23.0467718479382,70.4274966577948,60
target_030,23.3769665676197,68.5830434716671,170
target_031,23.3758965623032,68.5688583497607,70
target_032,23.4036822724602,68.5514591744717,110
target_033,23.404638661687,68.533793476579,40
target_034,23.3995524675096,68.5335748078073,220
target_035,23.3985761197497,68.5421835443051,60
target_036,23.3949857415669,68.5563883609073,20
target_037,23.3875360326662,68.5410853256406,50
target_038,23.3801801173349,68.5532999597915,30
target_039,23.3798926526487,68.5391715287752,20
target_040,23.3717321354995,68.5553525141486,230
target_041,23.3727301489069,68.5502304946266,80
target_042,23.4251038859988,68.4606238902629,170
target_043,23.4362422351722,68.4125006322557,20
target_044,23.0088563360303,70.410844956953,30
target_045,23.3131535704875,68.7009335093553,30
target_046,23.3570261788283,68.6208460773505,70
target_047,23.3441526064115,68.6306121967839,20
target_048,23.335380188291,68.6088344625337,110
target_049,23.3319904987051,68.6223260426335,30
target_050,23.3309698710826,68.6220235076053,140
target_051,23.3318662557717,68.6150445968695,40
target_052,23.3313090962424,68.6150331443262,40
target_053,23.3674763250139,68.5690757514226,90
target_054,23.3550904516973,68.6090758674065,30
target_055,23.3482573916895,68.5761963805665,40
target_056,23.335380188291,68.6088344625337,110
target_057,23.3715518307462,68.5553167284733,190
target_058,23.3418732542629,68.5517626793638,50
target_059,23.3395255313571,68.5529867868835,50
target_060,23.3415435837643,68.5353927776818,30
target_061,23.3426607048332,68.5209507284835,10
target_062,23.3416640847681,68.5016167470545,40
target_063,23.3172327612093,68.625849815557,30
target_064,23.3099916137844,68.6312168740277,230
target_065,23.3034423330428,68.6518290640118,30
target_066,23.3046141763935,68.6761172925219,40
target_067,23.310422731191,68.5646046290034,120
target_068,23.3031747010316,68.5967123637719,40
target_069,23.3039690733137,68.5667022211537,90
target_070,23.3018005784588,68.5707442616965,70
target_071,22.9781590935283,70.2344880333521,30
target_072,22.9586376298995,70.4200586549365,90
target_073,23.2671454058508,68.6590050092738,40
target_074,23.2676537683812,68.6479766172825,170
