#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_000	POINT (7967 322)	7967	322	24.811186508754652	67.987740997149	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_001	POINT (10200 240)	10200	240	24.855768207811884	67.77216116730428	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_002	POINT (13268 194)	13268	194	24.91051026839022	67.47453958126076	150.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_003	POINT (13218 258)	13218	258	24.903873938171806	67.47822658661545	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_004	POINT (15371 229)	15371	229	24.941687396472187	67.26909382443597	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_005	POINT (15960 135)	15960	135	24.95970502729916	67.21346929088574	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_006	POINT (15967 217)	15967	217	24.952432101205197	67.21125407156842	40.0	10.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_007	POINT (15955 260)	15955	260	24.94830680333713	67.21168415546519	110.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_008	POINT (16200 245)	16200	245	24.953630642428283	67.18808988885638	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_009	POINT (16032 329)	16032	329	24.943385941801246	67.20289498934615	100.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_010	POINT (16016 339)	16016	339	24.94221672031368	67.20432117251774	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_011	POINT (16693 205)	16693	205	24.965235582025052	67.140738991859	40.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_012	POINT (16769 23)	16769	23	24.982872136295708	67.13661754387068	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_013	POINT (16772 166)	16772	166	24.97002621576621	67.13374439051428	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_014	POINT (16940 183)	16940	183	24.97119451734426	67.11711465013272	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_015	POINT (17254 84)	17254	84	24.985184693772005	67.08829836684748	50.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_016	POINT (17131 221)	17131	221	24.970856392238858	67.09776811281942	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_017	POINT (17808 115)	17808	115	24.991323336417327	67.03374968492119	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_018	POINT (17771 316)	17771	316	24.972649152123115	67.03375191201474	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_019	POINT (18510 4)	18510	4	25.012613773884592	66.96726316017292	80.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_020	POINT (18641 196)	18641	196	24.99740560606853	66.95105336874202	40.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_021	POINT (19328 23)	19328	23	25.02401674457533	66.8871756127654	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_022	POINT (19220 185)	19220	185	25.007731604427747	66.89482144298603	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_023	POINT (19089 248)	19089	248	24.99994240605532	66.90651296478777	130.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_024	POINT (19173 344)	19173	344	24.992598705960944	66.89655193101224	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_025	POINT (19103 359)	19103	359	24.990115278050617	66.90315492989781	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
